SlNo,CabinetId,CabinetNumber,Status,BranchId,BranchName,BranchCity,BranchArea,BranchAddress,MerchantId,MerchantName,MerchantAddress
1,5,BC101911001843,false,256,Baba's Ananda Nilayam-1,BANGALORE,KARNATAKA,"5th A cross , Rajashree layout, Munnekollal, Bangalore,560037",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
2,8,BC101911000711,false,2938,Just Bake Apna Day Market,BANGALORE,KARNATAKA,"APNA DAY MARKET, #205/A, WHITEFIELD MAIN ROAD, WHITEFIELD, Bengaluru, Karnataka 560066",4,Just Bake,"Ashok Pillar cafe coffee day , Bridage homestead, Ashok Pillar"
3,9,BC101911002127,true,1460,The Jaag Hotel - Lobby T Nagar,CHENNAI,TAMIL NADU,"41, Periyar Rd, Darmapuram, T. Nagar, Chennai, Tamil Nadu 600017",433,The Jaag Hotel - Lobby,"41, Periyar Rd, Darmapuram, T. Nagar, Chennai, Tamil Nadu 600017"
4,11,BC101911001640,false,5888,Ittyon Hotel Taltala,KOLKATA,WEST BENGAL,"14 & 14/1, Sudder St, Fire Brigade Head Quarter, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700016, India",3353,Ittyon Hotel,"14 & 14/1, Sudder St, Fire Brigade Head Quarter, Esplanade, Dharmatala, Taltala, Kolkata, West Bengal 700016"
5,12,BC101911001841,false,256,Baba's Ananda Nilayam-1,BANGALORE,KARNATAKA,"5th A cross , Rajashree layout, Munnekollal, Bangalore,560037",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
6,13,BC101911000734,true,486,French Loaf Palavakkam,CHENNAI,TAMIL NADU,"4/440, Sh 49, Sakthimoorthiamman Nagar, Palavakkam, Chennai, Tamil Nadu 600041",65,French Loaf,"146, TT Krishnamachari Rd, Cooperative Colony, MIG Colony, Alwarpet, Chennai, Tamil Nadu 600018"
7,14,BC101911001823,false,2943,D-Vag Enterprises 109 Navyug Market,NEW DELHI,DELHI,"Shop No.109, Navyug Market, Near Bank Of Baroda, Ghaziabad, Uttar Pradesh 201001",1317,D-Vag Enterprises,"109 Navyug Market Ghaziabad 201001"
8,15,BC101911001860,true,262,Galaxy Orchid Park,BANGALORE,KARNATAKA,"Seegehalli - Kannamangala Rd near Shell Petrol Pump, Krishnarajapura Bengaluru, Karnataka 560067",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
9,18,BC101911001825,true,476,French Loaf Besant Nagar,CHENNAI,TAMIL NADU,"T 46 A, Annai Velankanni Road, Besant Nagar, Chennai, Tamil Nadu 600090",65,French Loaf,"146, TT Krishnamachari Rd, Cooperative Colony, MIG Colony, Alwarpet, Chennai, Tamil Nadu 600018"
10,21,BC101911001731,false,2,Spykke Office,BANGALORE,KARNATAKA,"4th Floor, Prestige Commercial Complex Churchstreet, above Blossoms Book House, Haridevpur, Shanthala Nagar, Bengaluru, Karnataka 560001",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
11,22,BC101911001675,false,2278,Ilma International School Bomanahalli,BANGALORE,KARNATAKA,"49, 7th Cross Rd, Mangammanapalya, Bengaluru, Karnataka 560068",855,Ilma International School,"#112 #1138th Cross HG Palya Main Road HSR Sector 7 Bomanahalli"
